velocity; pressure; mach; temperatur; total pressure
214.991;73494.4;0.678144;1.09198;100000;
218.218;72778.7;0.689286;1.09502;99996.7;
221.432;72065.1;0.700422;1.09812;99999.2;
224.715;71326.9;0.711852;1.10135;99997.1;
227.997;70586.4;0.723327;1.10464;99998.7;
231.335;69825.8;0.735055;1.10806;99997.4;
234.68;69060.4;0.746858;1.11156;99998.4;
238.072;68277.7;0.758889;1.11518;99997.5;
241.475;67489.1;0.771012;1.11889;99998.3;
244.918;66685.5;0.783346;1.12273;99997.7;
248.372;65875.7;0.795783;1.12665;99998.2;
251.863;65052.6;0.808417;1.13071;99997.8;
255.364;64223.5;0.821158;1.13486;99998.3;
258.897;63382.6;0.834089;1.13914;99998;
262.439;62536.6;0.847125;1.14352;99998.4;
266.01;61680.1;0.860344;1.14804;99998.2;
269.586;60819.6;0.873663;1.15266;99998.7;
273.188;59950;0.887158;1.15741;99998.6;
276.79;59078.2;0.900738;1.16227;99999.1;
280.412;58199.1;0.914482;1.16726;99999.3;
284.023;57321.2;0.928272;1.17234;99999.9;
287.64;56439.9;0.942179;1.17754;100000;
291.203;55571.5;0.955962;1.18277;100001;
294.666;54726.2;0.969453;1.18797;100003;
297.577;54016.7;0.980857;1.19242;100006;
306.561;51823.1;1.01647;1.20664;100011;
306.115;51924;1.01472;1.20593;99998.8;
309.768;51030.7;1.02936;1.21192;99996.6;
294.645;54697.7;0.969474;1.18798;99952.9;
323.731;47734.8;1.08611;1.23593;100186;
319.813;48564.3;1.07034;1.22913;99977.9;
331.345;45934.3;1.11778;1.24988;100272;
327.42;46713.8;1.1019;1.24284;99975.5;
336.931;44572.6;1.14152;1.26061;100254;
332.31;45458.3;1.12272;1.2521;99850.1;
342.213;43263.1;1.16435;1.27114;100184;
338.099;43997.5;1.14763;1.26341;99731.5;
349.696;41503.1;1.19689;1.28651;100236;
343.742;42562.5;1.17234;1.27487;99577.9;
358.063;39593.9;1.23379;1.30445;100374;
349.044;41192.6;1.19602;1.28609;99373.8;
367.362;37550.6;1.27543;1.32535;100640;
353.425;39997.1;1.21618;1.29582;99067.5;
378.105;35310.8;1.3243;1.35076;101141;
355.783;39173.2;1.22798;1.30159;98547.1;
391.026;32795.7;1.3842;1.3832;102075;
353.539;39186.8;1.21993;1.29765;97540.9;
407.544;29858.6;1.46352;1.42838;103997;
338.201;41675.1;1.15336;1.26605;95159.1;
214.702;72881.2;0.674751;1.09106;98874.1;
248.753;62341.1;0.799271;1.12777;94960.2;
214.35;72307.4;0.674394;1.09096;98065.5;
231.556;66673.1;0.736923;1.10861;95648.5;
211.849;72394.9;0.666393;1.08882;97509.9;
219.561;69618.5;0.694464;1.09646;96093.6;
207.726;72978.1;0.652662;1.08519;97155.5;
210.156;71828;0.661769;1.08759;96364.9;
202.577;73875.7;0.635371;1.08074;96944.8;
202.203;73605.9;0.634521;1.08052;96523.3;
196.897;74938.1;0.616303;1.07597;96827.3;
195.119;75118;0.610528;1.07455;96613;
191.012;76065.9;0.596622;1.07119;96766.4;
188.587;76457.3;0.58862;1.06929;96662.9;
185.119;77198.5;0.577009;1.06659;96738;
182.439;77676;0.568162;1.06456;96690.7;
179.324;78302.4;0.55783;1.06223;96726.8;
176.583;78803.2;0.548809;1.06024;96706.6;
173.683;79360.1;0.539262;1.05816;96723.6;
170.97;79854.4;0.530375;1.05626;96715.5;
168.219;80363.9;0.521375;1.05437;96723.4;
165.573;80839;0.51275;1.05258;96720.2;
162.94;81312.1;0.50418;1.05084;96723.6;
160.376;81763.2;0.495861;1.04918;96722.2;
157.844;82205.7;0.48766;1.04756;96723.5;
155.366;82631.9;0.479652;1.04601;96722.6;
152.925;83047.4;0.471783;1.04452;96722.8;
150.531;83449.4;0.464079;1.04307;96722.1;
148.177;83840.2;0.456518;1.04168;96721.9;
145.865;84219;0.449106;1.04034;96721.3;
143.592;84586.9;0.441832;1.03904;96720.9;
141.36;84943.7;0.434699;1.03779;96720.4;
139.167;85290;0.4277;1.03659;96720;
137.011;85626;0.420834;1.03542;96719.5;
134.894;85952;0.414096;1.0343;96719;
132.814;86268.2;0.407486;1.03321;96718.4;
130.77;86574.9;0.401;1.03216;96717.9;
128.763;86872.3;0.394638;1.03115;96717.4;
126.791;87160.7;0.388398;1.03017;96717;
124.854;87440.4;0.382278;1.02923;96716.7;
122.952;87711.5;0.37628;1.02832;96716.7;
121.083;87974.3;0.370399;1.02744;96716.9;
119.248;88229.1;0.364638;1.02659;96717.4;
117.446;88476.1;0.35899;1.02577;96718.2;
115.676;88715.6;0.353458;1.02499;96719.3;
113.938;88947.7;0.348029;1.02422;96720.4;
112.231;89172.6;0.342712;1.02349;96721.9;
110.555;89390.8;0.337488;1.02278;96723.1;
108.907;89601.7;0.33237;1.02209;96724;
107.295;89808.5;0.327347;1.02143;96727.4;
105.689;90000;0.322371;1.02078;96719;
