velocity; pressure; mach; temperatur
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
-nan(ind);-nan(ind);-nan(ind);-nan(ind);
